"iso_code","continent","location","date","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"AFG","Asia","Afghanistan","2020-11-22",44519,1687,1143.614,43.336,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.498
"ALB","Europe","Albania","2020-11-22",32196,685,11187.713,238.029,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.785
"DZA","Africa","Algeria","2020-11-22",73774,2240,1682.377,51.082,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
"AND","Europe","Andorra","2020-11-22",6207,76,80333.916,983.628,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858
"AGO","Africa","Angola","2020-11-22",14413,336,438.535,10.223,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581
"AIA","North America","Anguilla","2020-11-22",3,NA,199.973,NA,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA
"ATG","North America","Antigua and Barbuda","2020-11-22",139,4,1419.41,40.846,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.78
"ARG","South America","Argentina","2020-11-22",1366169,36902,30227.802,816.492,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.825
"ARM","Asia","Armenia","2020-11-22",126224,1952,42596.703,658.74,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
"ABW","North America","Aruba","2020-11-22",4724,45,44246.296,421.482,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA
"AUS","Oceania","Australia","2020-11-22",27807,907,1090.476,35.569,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.939
"AUT","Europe","Austria","2020-11-22",240909,2155,26748.645,239.274,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.908
"AZE","Asia","Azerbaijan","2020-11-22",89898,1107,8866.402,109.18,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"BHS","North America","Bahamas","2020-11-22",7395,163,18804.927,414.497,393248,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.807
"BHR","Asia","Bahrain","2020-11-22",85591,338,50300.808,198.639,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.846
"BGD","Asia","Bangladesh","2020-11-22",445281,6350,2703.763,38.557,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
"BRB","North America","Barbados","2020-11-22",255,7,887.355,24.359,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
"BLR","Europe","Belarus","2020-11-22",122435,1089,12957.016,115.246,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.808
"BLZ","North America","Belize","2020-11-22",5110,112,12851.434,281.675,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,0.708
"BEN","Africa","Benin","2020-11-22",2916,43,240.531,3.547,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
"BMU","North America","Bermuda","2020-11-22",227,9,3645.24,144.525,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA
"BTN","Asia","Bhutan","2020-11-22",379,NA,491.18,NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.612
"BOL","South America","Bolivia","2020-11-22",143922,8904,12329.448,762.784,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.693
"BES","North America","Bonaire Sint Eustatius and Saba","2020-11-22",158,3,6025.705,114.412,26221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.79,NA
"BIH","Europe","Bosnia and Herzegovina","2020-11-22",79309,2249,24173.567,685.5,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
"BWA","Africa","Botswana","2020-11-22",9594,31,4079.732,13.182,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.717
"BRA","South America","Brazil","2020-11-22",6052786,168989,28475.738,795.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.759
"VGB","North America","British Virgin Islands","2020-11-22",72,1,2381.189,33.072,30237,207.973,NA,NA,NA,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,NA
"BRN","Asia","Brunei","2020-11-22",148,3,338.299,6.857,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.853
"BGR","Europe","Bulgaria","2020-11-22",120697,2820,17370.361,405.846,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.813
"BFA","Africa","Burkina Faso","2020-11-22",2703,68,129.31,3.253,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
