date,state,positive,hospitalizedCumulative,death
,,,,
20201202,AK,32531,768,122
,,,,
20201201,AK,31834,749,122
,,,,
20201130,AK,31323,725,121
,,,,
20201129,AK,30816,722,121
,,,,
20201128,AK,30204,721,121
,,,,
20201127,AK,29554,691,119
,,,,
20201126,AK,28892,688,119
,,,,
20201125,AK,28339,663,116
,,,,
20201124,AK,27669,631,116
,,,,
20201123,AK,27085,617,103
,,,,
20201122,AK,26587,612,103
,,,,
20201121,AK,26044,612,102
,,,,
20201120,AK,25369,606,101
,,,,
20201119,AK,24909,593,101
,,,,
20201118,AK,24419,584,100
,,,,
20201117,AK,23874,562,100
,,,,
20201116,AK,23240,559,98
,,,,
20201115,AK,22662,550,98
,,,,
20201114,AK,22020,543,98
,,,,
20201113,AK,21286,542,96
,,,,
20201112,AK,20702,537,96
,,,,
20201111,AK,20221,528,96
,,,,
20201110,AK,19734,520,92
,,,,
20201109,AK,19196,514,84
,,,,
20201108,AK,18732,509,84
,,,,
20201107,AK,18221,499,84
,,,,
20201106,AK,17618,491,84
,,,,
20201105,AK,17111,482,84
,,,,
20201104,AK,16798,476,84
,,,,
20201103,AK,16390,472,84
,,,,
20201102,AK,16007,470,84
,,,,
20201101,AK,15663,462,83
,,,,
20201031,AK,15312,455,82
,,,,
20201030,AK,14858,448,81
,,,,
20201029,AK,14481,442,77
,,,,
20201028,AK,14131,434,71
,,,,
20201027,AK,13779,425,70
,,,,
20201026,AK,13391,424,68
,,,,
20201025,AK,13041,421,68
,,,,
20201024,AK,12523,419,68
,,,,
20201023,AK,12167,415,68
,,,,
20201022,AK,11919,401,68
,,,,
20201021,AK,11680,395,68
,,,,
20201020,AK,11456,389,67
,,,,
20201019,AK,11225,387,67
,,,,
20201018,AK,11021,383,67
,,,,
20201017,AK,10811,377,67
,,,,
20201016,AK,10601,373,66
,,,,
20201015,AK,10380,365,65
,,,,
20201014,AK,10214,356,64
,,,,
20201013,AK,10059,355,60
,,,,
20201012,AK,9903,352,60
,,,,
20201011,AK,9712,345,60
,,,,
20201010,AK,9462,341,60
,,,,
20201009,AK,9232,339,60
,,,,
20201008,AK,9045,337,60
,,,,
20201007,AK,8911,333,59
,,,,
20201006,AK,8790,328,58
,,,,
20201005,AK,8643,325,58
,,,,
20201004,AK,8447,324,58
,,,,
20201003,AK,8306,322,58
,,,,
20201002,AK,8167,320,57
,,,,
20201001,AK,8026,317,57
,,,,
20200930,AK,7889,315,56
,,,,
20200929,AK,7785,313,56
,,,,
20200928,AK,7663,309,56
,,,,
20200927,AK,7549,308,56
,,,,
20200926,AK,7439,304,52
,,,,
20200925,AK,7320,302,51
,,,,
20200924,AK,7194,300,45
,,,,
20200923,AK,7063,296,45
,,,,
20200922,AK,6987,295,45
,,,,
20200921,AK,6930,292,45
,,,,
20200920,AK,6860,287,45
,,,,
20200919,AK,6752,283,45
,,,,
20200918,AK,6658,283,45
,,,,
20200917,AK,6551,280,44
,,,,
20200916,AK,6443,279,44
,,,,
20200915,AK,6393,278,44
,,,,
20200914,AK,6350,275,44
,,,,
20200913,AK,6275,272,44
,,,,
20200912,AK,6214,271,44
,,,,
20200911,AK,6111,270,43
,,,,
20200910,AK,6022,270,42
,,,,
20200909,AK,5908,268,42
,,,,
20200908,AK,5843,265,42
,,,,
20200907,AK,5810,260,42
,,,,
20200906,AK,5776,256,42
,,,,
20200905,AK,5681,256,42
,,,,
20200904,AK,5594,252,40
,,,,
20200903,AK,5475,252,40
,,,,
20200902,AK,5387,247,39
,,,,
20200901,AK,5321,246,39
,,,,
20200831,AK,5286,241,37
,,,,
20200830,AK,5250,241,37
,,,,
20200829,AK,5207,240,37
,,,,
20200828,AK,5114,239,37
,,,,
20200827,AK,4998,236,37
,,,,
20200826,AK,4914,235,37
,,,,
20200825,AK,4862,233,36
,,,,
20200824,AK,4829,228,32
,,,,
20200823,AK,4758,225,32
,,,,
20200822,AK,4692,223,31
,,,,
20200821,AK,4604,220,30
,,,,
20200820,AK,4535,218,29
,,,,
20200819,AK,4452,214,29
,,,,
20200818,AK,4379,208,29
,,,,
20200817,AK,4313,206,28
,,,,
20200816,AK,4263,203,28
,,,,
20200815,AK,4162,197,28
,,,,
20200814,AK,4078,193,27
,,,,
20200813,AK,3978,191,27
,,,,
20200812,AK,3896,186,27
,,,,
20200811,AK,3835,181,26
,,,,
20200810,AK,3786,180,26
,,,,
20200809,AK,3718,176,26
,,,,
20200808,AK,3621,172,26
,,,,
20200807,AK,3542,167,25
,,,,
20200806,AK,3487,164,25
,,,,
20200805,AK,3447,161,25
,,,,
20200804,AK,3392,158,25
,,,,
20200803,AK,3331,156,25
,,,,
20200802,AK,3273,154,24
,,,,
20200801,AK,3137,153,24
,,,,
20200731,AK,2993,151,23
,,,,
20200730,AK,2887,147,23
,,,,
20200729,AK,2803,145,22
,,,,
20200728,AK,2735,143,22
,,,,
20200727,AK,2627,138,21
,,,,
20200726,AK,2533,135,20
,,,,
20200725,AK,2348,132,20
,,,,
20200724,AK,2260,126,19
,,,,
20200723,AK,2203,124,19
,,,,
20200722,AK,2139,118,19
,,,,
20200721,AK,2045,113,18
,,,,
20200720,AK,1955,111,18
,,,,
20200719,AK,1882,110,18
,,,,
20200718,AK,1799,107,18
,,,,
20200717,AK,1737,105,17
,,,,
20200716,AK,1695,103,17
,,,,
20200715,AK,1631,102,17
,,,,
20200714,AK,1580,98,17
,,,,
20200713,AK,1537,96,17
,,,,
20200712,AK,1478,95,17
,,,,
20200711,AK,1386,93,17
,,,,
20200710,AK,1323,90,17
,,,,
20200709,AK,1273,87,17
,,,,
20200708,AK,1226,84,17
,,,,
20200707,AK,1186,80,17
,,,,
20200706,AK,1168,78,16
,,,,
20200705,AK,1141,75,16
,,,,
20200704,AK,1114,71,16
,,,,
20200703,AK,1065,69,15
,,,,
20200702,AK,1020,68,14
,,,,
20200701,AK,982,68,14
,,,,
20200630,AK,944,68,14
,,,,
20200629,AK,908,68,14
,,,,
20200628,AK,887,68,14
,,,,
20200627,AK,858,67,14
,,,,
20200626,AK,839,67,14
,,,,
20200625,AK,821,67,12
,,,,
20200624,AK,797,67,12
,,,,
20200623,AK,783,66,12
,,,,
20200622,AK,767,65,12
,,,,
20200621,AK,761,65,12
,,,,
20200620,AK,750,65,12
,,,,
20200619,AK,729,63,12
,,,,
20200618,AK,713,61,12
,,,,
20200617,AK,701,61,12
,,,,
20200616,AK,681,61,12
,,,,
20200615,AK,668,60,12
,,,,
20200614,AK,665,57,12
,,,,
20200613,AK,656,56,12
,,,,
20200612,AK,630,55,12
,,,,
20200611,AK,616,54,11
,,,,
20200610,AK,598,53,11
,,,,
20200609,AK,578,53,11
,,,,
20200608,AK,567,53,10
,,,,
20200607,AK,549,53,10
,,,,
20200606,AK,541,53,10
,,,,
20200605,AK,529,53,10
,,,,
20200604,AK,518,52,10
,,,,
20200603,AK,508,52,10
,,,,
20200602,AK,490,51,10
,,,,
20200601,AK,470,50,10
,,,,
